,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
10,0j,0j,0j,0j,0j,0j,(-9.417450305617535+25.248303477592327j),(-4.565594459364162+7.318999117934548j),(-10.89108921018602+27.309317504889904j),0j,(26.985458351367335-63.71539169350699j),0j,(-0-0j),(-2.1113243761996157+3.838771593090211j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
11,0j,0j,0j,0j,0j,0j,(-6.885151603883518+22.14282410043821j),(-10.89108921018602+27.309317504889904j),(-4.484961477016334+7.305251937818967j),0j,0j,(24.372526667285488-60.59616513623729j),(-0-0j),(-0-0j),(-2.1113243761996157+3.838771593090211j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
12,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.1113243761996157+3.838771593090211j),(-0-0j),(-0-0j),(2.1113243761996157-3.838771593090211j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
13,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-2.1113243761996157+3.838771593090211j),(-0-0j),0j,(2.1113243761996157-3.838771593090211j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
14,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-2.1113243761996157+3.838771593090211j),0j,0j,(2.1113243761996157-3.838771593090211j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,(-0-0j),0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
16,0j,0j,0j,0j,0j,0j,(-0-0j),(-4.4879593757581855+4.600175311199789j),(-9.930846931913162+22.06801464879638j),0j,0j,0j,0j,0j,0j,0j,(38.45015015379026-71.11517322665645j),0j,(-0-0j),(-7.479932292930309+7.666958851999649j),(-16.5514115531886+36.78002441466064j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
17,0j,0j,0j,0j,0j,0j,(-0-0j),(-9.930846931913162+22.06801464879638j),(-4.521591912558367+4.581793640294401j),0j,0j,0j,0j,0j,0j,0j,0j,(38.539836918590744-71.06615543757542j),(-0-0j),(-16.5514115531886+36.78002441466064j),(-7.535986520930613+7.636322733824002j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
18,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
19,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-7.479932292930309+7.666958851999649j),(-16.5514115531886+36.78002441466064j),0j,(24.031343846118908-44.44698326666028j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
20,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-16.5514115531886+36.78002441466064j),(-7.535986520930613+7.636322733824002j),0j,0j,(24.087398074119214-44.41634714848464j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
21,(-986.2165737933184+9901.772829250185j),(-0-0j),(-0-0j),0j,0j,0j,(-0.9128007270783671+2.681500317728918j),(-1.7212879009708795+5.535706025109553j),(-2.354362576404384+6.312075869398082j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(991.205024997772-9916.302111462423j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
22,(-0-0j),(-986.2165737933184+9901.772829250185j),(-0-0j),0j,0j,0j,(-1.7212879009708795+5.535706025109553j),(-0.8482916894984435+2.633600095574723j),(-2.722772302546505+6.827329376222476j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(991.5089256863342-9916.769464747093j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
23,(-0-0j),(-0-0j),(-986.2165737933184+9901.772829250185j),0j,0j,0j,(-2.354362576404384+6.312075869398082j),(-2.722772302546505+6.827329376222476j),(-0.8757466079041586+2.6544305502613454j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(992.1694552801735-9917.566665046068j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
24,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.95065747765986-1.8895470328140869j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.95065747765986+1.8895470328140869j),(-0-0j),(-0-0j),0j,0j,0j
25,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j
26,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j
27,0j,0j,0j,0j,0j,0j,(-0.9128010162536366+2.681501167228216j),(-1.7212884462748848+5.535707778821215j),(-2.3543633222664453+6.31207786906371j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(11576.063365706486-88.03483450624654j),0j,0j,0j,0j,0j,(-1.8256014541567342+5.363000635457836j),(-3.442575801941759+11.071412050219106j),(-4.708725152808768+12.624151738796163j),(-7.479932292930309+7.666958851999649j),(-0-0j),(-16.5514115531886+36.78002441466064j),(-11537.066666666666+0j),(-0-0j),(-0-0j)
28,0j,0j,0j,0j,0j,0j,(-1.7212884462748848+5.535707778821215j),(-0.8482919582372499+2.633600929899231j),(-2.7227731651207687+6.827331539120416j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(11552.94372402233-44.98991124165437j),0j,0j,0j,0j,(-3.442575801941759+11.071412050219106j),(-1.696583378996887+5.267200191149446j),(-5.44554460509301+13.654658752444952j),(-0-0j),(-0-0j),(-0-0j),(-0-0j),(-11537.066666666666+0j),(-0-0j)
29,0j,0j,0j,0j,0j,0j,(-2.3543633222664453+6.31207786906371j),(-2.7227731651207687+6.827331539120416j),(-0.8757468853406831+2.654431391184941j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(11579.012711087224-91.79785953961752j),0j,0j,0j,(-4.708725152808768+12.624151738796163j),(-5.44554460509301+13.654658752444952j),(-1.7514932158083172+5.308861100522691j),(-16.5514115531886+36.78002441466064j),(-0-0j),(-7.535986520930613+7.636322733824002j),(-0-0j),(-0-0j),(-11537.066666666666+0j)
30,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(92.05232619096981-8.241614927968488j),0j,0j,0j,0j,0j,0j,0j,0j,(-11.628004985937437+6.501601885772836j),(-37.76892584360646+3.881017442576103j),(-42.6553953614259-2.141004400380451j)
31,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(87.76942013134777-14.025850381635408j),0j,0j,0j,0j,0j,0j,0j,(-37.76892584360646+3.881017442576103j),(-12.231568444134858+6.263815496483203j),(-37.76892584360646+3.881017442576103j)
32,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(92.0523261909698-8.241614927968488j),0j,0j,0j,0j,0j,0j,(-42.6553953614259-2.141004400380451j),(-37.76892584360646+3.881017442576103j),(-11.628004985937437+6.501601885772836j)
33,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.8256014541567342+5.363000635457836j),(-3.442575801941759+11.071412050219106j),(-4.708725152808768+12.624151738796163j),0j,0j,0j,(9.97690240890726-29.058564424473104j),0j,0j,0j,0j,0j,0j,0j,0j
34,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-3.442575801941759+11.071412050219106j),(-1.696583378996887+5.267200191149446j),(-5.44554460509301+13.654658752444952j),0j,0j,0j,0j,(10.584703786031657-29.993270993813503j),0j,0j,0j,0j,0j,0j,0j
35,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.708725152808768+12.624151738796163j),(-5.44554460509301+13.654658752444952j),(-1.7514932158083172+5.308861100522691j),0j,0j,0j,0j,0j,(11.905762973710095-31.587671591763808j),0j,0j,0j,0j,0j,0j
36,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.95065747765986+1.8895470328140869j),(-0-0j),(-0-0j),(-7.479932292930309+7.666958851999649j),(-0-0j),(-16.5514115531886+36.78002441466064j),0j,0j,0j,0j,0j,0j,(28.982001323778768-46.336530299474376j),0j,0j,0j,0j,0j
37,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,(-0-0j),0j,0j,0j,0j
38,0j,0j,0j,(-0-0j),(-0-0j),(-7.533704166935152+7.637425793669213j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),(-16.5514115531886+36.78002441466064j),(-0-0j),(-7.535986520930613+7.636322733824002j),0j,0j,0j,0j,0j,0j,0j,0j,(31.621102241054366-52.053772942153856j),0j,0j,0j
39,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-11537.066666666666+0j),(-0-0j),(-0-0j),(-11.628004985937437+6.501601885772836j),(-37.76892584360646+3.881017442576103j),(-42.6553953614259-2.141004400380451j),0j,0j,0j,0j,0j,0j,(11629.118992857635-8.241614927968488j),0j,0j
40,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-11537.066666666666+0j),(-0-0j),(-37.76892584360646+3.881017442576103j),(-12.231568444134858+6.263815496483203j),(-37.76892584360646+3.881017442576103j),0j,0j,0j,0j,0j,0j,0j,(11624.836086798014-14.025850381635408j),0j
41,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-11537.066666666666+0j),(-42.6553953614259-2.141004400380451j),(-37.76892584360646+3.881017442576103j),(-11.628004985937437+6.501601885772836j),0j,0j,0j,0j,0j,0j,0j,0j,(11629.118992857635-8.241614927968488j)
