,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
10,0j,0j,0j,0j,0j,0j,(-23.609405645169765-4.724779766927774j),(-6.572495074655959+3.921823041427954j),(-23.609405645169765-4.724779766927774j),0j,(165.19350331730885-48.41604203896978j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-33.10982102627489+17.42019407569959j),(-9.29611593411986+3.2643186672023314j),(-33.10982102627489+17.42019407569959j),0j,0j,0j,0j,0j,0j,(-15.209473014227534+6.591500212078492j),(-5.467492937188642+2.656071288638869j),(-15.209473014227534+6.591500212078492j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
11,0j,0j,0j,0j,0j,0j,(-26.09976179208494-12.83837553305961j),(-23.609405645169765-4.724779766927774j),(-6.050161839600671+3.7859674066791826j),0j,0j,(173.62748005857387-38.40347619579112j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-37.66499418457244+16.232802000375013j),(-33.10982102627489+17.42019407569959j),(-9.234155731396843+3.4191762201306175j),0j,0j,0j,0j,0j,0j,(-17.29027146686107+5.735769444077577j),(-15.209473014227534+6.591500212078492j),(-5.35943535838571+2.781222136738039j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
12,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(312.1049667518855-139.9807608789333j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-6.183963875060434+3.2091024654669678j),(-17.549391939493308+7.605577167782873j),(-19.95031323099354+6.618195512397203j),(-27.70246719419053+10.257528660391852j),(-99.32946307882467+52.260582227098766j),(-112.99498255371734+48.698406001125036j),0j,0j,0j,(-4.0195765187892825+2.085916602553529j),(-11.407104760670649+4.943625159058867j),(-12.9677036001458+4.301827083058182j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
13,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(294.86953275998445-144.46927621670432j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-17.549391939493308+7.605577167782873j),(-6.308645696756127+3.064697640737157j),(-17.549391939493308+7.605577167782873j),(-99.32946307882467+52.260582227098766j),(-27.888347802359576+9.792956001606994j),(-99.32946307882467+52.260582227098766j),0j,0j,0j,(-11.407104760670649+4.943625159058867j),(-4.100619702891482+1.992053466479152j),(-11.407104760670649+4.943625159058867j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
14,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(312.10496675188557-139.98076087893327j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-19.95031323099354+6.618195512397203j),(-17.549391939493308+7.605577167782873j),(-6.183963875060434+3.2091024654669678j),(-112.99498255371734+48.698406001125036j),(-99.32946307882467+52.260582227098766j),(-27.70246719419053+10.257528660391852j),0j,0j,0j,(-12.9677036001458+4.301827083058182j),(-11.407104760670649+4.943625159058867j),(-4.0195765187892825+2.085916602553529j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15,0j,0j,0j,0j,0j,0j,(-5.540493438838106+2.0515057320783705j),(-19.865892615764935+10.452116445419753j),(-22.59899651074347+9.739681200225005j),0j,0j,0j,0j,0j,0j,(188.0210817142738-87.11960489608227j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-9.234155731396843+3.4191762201306175j),(-33.10982102627489+17.42019407569959j),(-37.66499418457244+16.232802000375013j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-6.925616798547632+2.564382165097963j),(-24.83236576970617+13.065145556774691j),(-28.248745638429334+12.174601500281259j),0j,0j,0j,0j,0j,0j
16,0j,0j,0j,0j,0j,0j,(-19.865892615764935+10.452116445419753j),(-5.577669560471915+1.9585912003213992j),(-19.865892615764935+10.452116445419753j),0j,0j,0j,0j,0j,0j,0j,(177.46203126867368-89.54606102371355j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-33.10982102627489+17.42019407569959j),(-9.29611593411986+3.2643186672023314j),(-33.10982102627489+17.42019407569959j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-24.83236576970617+13.065145556774691j),(-6.972086950589894+2.4482390004017485j),(-24.83236576970617+13.065145556774691j),0j,0j,0j,0j,0j,0j
17,0j,0j,0j,0j,0j,0j,(-22.59899651074347+9.739681200225005j),(-19.865892615764935+10.452116445419753j),(-5.540493438838106+2.0515057320783705j),0j,0j,0j,0j,0j,0j,0j,0j,(188.02108171427383-87.11960489608227j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-37.66499418457244+16.232802000375013j),(-33.10982102627489+17.42019407569959j),(-9.234155731396843+3.4191762201306175j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-28.248745638429334+12.174601500281259j),(-24.83236576970617+13.065145556774691j),(-6.925616798547632+2.564382165097963j),0j,0j,0j,0j,0j,0j
18,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(106.43829778996931-46.88463947535572j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-5.35943535838571+2.781222136738039j),(-15.209473014227534+6.591500212078492j),(-17.29027146686107+5.735769444077577j),0j,0j,0j,0j,0j,0j,(-7.91499062691158+2.9307224743976725j),(-28.379846593949907+14.931594922028218j),(-32.28428072963352+13.913830286035722j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
19,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(100.61423152564625-48.500248985882855j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-15.209473014227534+6.591500212078492j),(-5.467492937188642+2.656071288638869j),(-15.209473014227534+6.591500212078492j),0j,0j,0j,0j,0j,0j,(-28.379846593949907+14.931594922028218j),(-7.968099372102735+2.7979874290305693j),(-28.379846593949907+14.931594922028218j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
20,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(106.43829778996931-46.88463947535572j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-17.29027146686107+5.735769444077577j),(-15.209473014227534+6.591500212078492j),(-5.35943535838571+2.781222136738039j),0j,0j,0j,0j,0j,0j,(-32.28428072963352+13.913830286035722j),(-28.379846593949907+14.931594922028218j),(-7.91499062691158+2.9307224743976725j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
21,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(206.15583817154908-95.52234783873473j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.408910190799176+0.8919590139471176j),(-8.63734461554997+4.544398454530327j),(-9.825650656844985+4.234644000097828j),(-18.468311462793686+6.838352440261235j),(-66.21964205254979+34.84038815139918j),(-75.32998836914489+32.46560400075003j),(-2.916049178335845+1.0797398589886162j),(-10.455732955665754+5.501113918641974j),(-11.894208689864982+5.126148000118423j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
22,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(194.57836039585817-98.18283724884509j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-8.63734461554997+4.544398454530327j),(-2.425073721944311+0.8515613914440865j),(-8.63734461554997+4.544398454530327j),(-66.21964205254979+34.84038815139918j),(-18.59223186823972+6.528637334404663j),(-66.21964205254979+34.84038815139918j),(-10.455732955665754+5.501113918641974j),(-2.935615558143113+1.0308374738533677j),(-10.455732955665754+5.501113918641974j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
23,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(206.15583817154908-95.52234783873473j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-9.825650656844985+4.234644000097828j),(-8.63734461554997+4.544398454530327j),(-2.408910190799176+0.8919590139471176j),(-75.32998836914489+32.46560400075003j),(-66.21964205254979+34.84038815139918j),(-18.468311462793686+6.838352440261235j),(-11.894208689864982+5.126148000118423j),(-10.455732955665754+5.501113918641974j),(-2.916049178335845+1.0797398589886162j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
24,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(201.97865260471178-84.46097344550681j),0j,0j,(-10.048941296973206+5.214791506383821j),(-28.51776190167662+12.359062897647169j),(-32.419259000364505+10.754567707645457j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-6.925616798547632+2.564382165097963j),(-24.83236576970617+13.065145556774691j),(-28.248745638429334+12.174601500281259j),(-10.048941296973206+5.214791506383821j),(-28.51776190167662+12.359062897647169j),(-32.419259000364505+10.754567707645457j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
25,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(191.21096461116613-87.97504903693556j),0j,(-28.51776190167662+12.359062897647169j),(-10.251549257228705+4.9801336661978794j),(-28.51776190167662+12.359062897647169j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-24.83236576970617+13.065145556774691j),(-6.972086950589894+2.4482390004017485j),(-24.83236576970617+13.065145556774691j),(-28.51776190167662+12.359062897647169j),(-10.251549257228705+4.9801336661978794j),(-28.51776190167662+12.359062897647169j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
26,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(201.9786526047118-84.46097344550681j),(-32.419259000364505+10.754567707645457j),(-28.51776190167662+12.359062897647169j),(-10.048941296973206+5.214791506383821j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-28.248745638429334+12.174601500281259j),(-24.83236576970617+13.065145556774691j),(-6.925616798547632+2.564382165097963j),(-32.419259000364505+10.754567707645457j),(-28.51776190167662+12.359062897647169j),(-10.048941296973206+5.214791506383821j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
27,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-10.048941296973206+5.214791506383821j),(-28.51776190167662+12.359062897647169j),(-32.419259000364505+10.754567707645457j),(222.7768828565942-92.32408013006159j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-16.07830607515713+8.343666410214116j),(-45.628419042682594+19.77450063623547j),(-51.8708144005832+17.207308332232728j),(-5.35943535838571+2.781222136738039j),(-15.209473014227534+6.591500212078492j),(-17.29027146686107+5.735769444077577j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.35420129968263553+3.5616908468087245j),(-0-0j),(-0-0j)
