,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
21,(-854.8243693890865+8582.573989850267j),(-0-0j),(-0-0j),0j,0j,0j,(-0.7911896095007113+2.3242479177800117j),(-1.4919632092827286+4.79819193652016j),(-2.0406942634792067+5.471127151960708j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(859.1482164713492-8595.167556856528j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
22,(-0-0j),(-854.8243693890865+8582.573989850267j),(-0-0j),0j,0j,0j,(-1.4919632092827286+4.79819193652016j),(-0.7352750174785417+2.2827293727822697j),(-2.3600212958925195+5.917734181036032j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(859.4116289117403-8595.572645340604j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
23,(-0-0j),(-0-0j),(-854.8243693890865+8582.573989850267j),0j,0j,0j,(-2.0406942634792067+5.471127151960708j),(-2.3600212958925195+5.917734181036032j),(-0.7590721569065724+2.3007846161889898j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(859.9841571053647-8596.263635799452j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
24,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(4.291088558899888-1.6378054209164266j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.291088558899888+1.6378054209164266j),(-0-0j),(-0-0j),0j,0j,0j
25,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j
26,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j
27,0j,0j,0j,0j,0j,0j,(-0.7911898601495787+2.3242486541017495j),(-1.4919636819366717+4.79819345658736j),(-2.0406949099711476+5.471128885213784j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(10033.801225360423-76.30608112944353j),0j,0j,0j,0j,0j,(-1.5823792190014225+4.648495835560023j),(-2.9839264185654573+9.59638387304032j),(-4.081388526958413+10.942254303921416j),(-6.483391757232031+6.645501038969741j),(-0-0j),(-14.346290986607173+31.879875082049143j),(-10000+0j),(-0-0j),(-0-0j)
28,0j,0j,0j,0j,0j,0j,(-1.4919636819366717+4.79819345658736j),(-0.7352752504136665+2.282730095950933j),(-2.360022043547264+5.917736055774214j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(10013.761780021205-38.99597058898944j),0j,0j,0j,0j,(-2.9839264185654573+9.59638387304032j),(-1.4705500349570835+4.5654587455645395j),(-4.720042591785039+11.835468362072064j),(-0-0j),(-0-0j),(-0-0j),(-0-0j),(-10000+0j),(-0-0j)
29,0j,0j,0j,0j,0j,0j,(-2.0406949099711476+5.471128885213784j),(-2.360022043547264+5.917736055774214j),(-0.7590723973806308+2.3007853450775535j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(10036.35763373176-79.56776379289148j),0j,0j,0j,(-4.081388526958413+10.942254303921416j),(-4.720042591785039+11.835468362072064j),(-1.5181443138131447+4.6015692323779795j),(-14.346290986607173+31.879875082049143j),(-0-0j),(-6.5319779616978995+6.618946526405327j),(-0-0j),(-0-0j),(-10000+0j)
30,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(79.78832822118545-7.143596519018546j),0j,0j,0j,0j,0j,0j,0j,0j,(-10.078822738827984+5.6354028919305055j),(-32.73702660723101+3.363955115028751j),(-36.97247887512646-1.855761487940711j)
31,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(76.07602752694024-12.157206668623521j),0j,0j,0j,0j,0j,0j,0j,(-32.73702660723101+3.363955115028751j),(-10.601974312478209+5.429296438566018j),(-32.73702660723101+3.363955115028751j)
32,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(79.78832822118545-7.143596519018546j),0j,0j,0j,0j,0j,0j,(-36.97247887512646-1.855761487940711j),(-32.73702660723101+3.363955115028751j),(-10.078822738827984+5.6354028919305055j)
33,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-1.5823792190014225+4.648495835560023j),(-2.9839264185654573+9.59638387304032j),(-4.081388526958413+10.942254303921416j),0j,0j,0j,(8.647694164525292-25.18713401252176j),0j,0j,0j,0j,0j,0j,0j,0j
34,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-2.9839264185654573+9.59638387304032j),(-1.4705500349570835+4.5654587455645395j),(-4.720042591785039+11.835468362072064j),0j,0j,0j,0j,(9.17451904530758-25.997310980676925j),0j,0j,0j,0j,0j,0j,0j
35,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.081388526958413+10.942254303921416j),(-4.720042591785039+11.835468362072064j),(-1.5181443138131447+4.6015692323779795j),0j,0j,0j,0j,0j,(10.319575432556597-27.37929189837146j),0j,0j,0j,0j,0j,0j
36,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-4.291088558899888+1.6378054209164266j),(-0-0j),(-0-0j),(-6.483391757232031+6.645501038969741j),(-0-0j),(-14.346290986607173+31.879875082049143j),0j,0j,0j,0j,0j,0j,(25.12077130273909-40.16318154193531j),0j,0j,0j,0j,0j
37,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),(-0-0j),(-0-0j),(-0-0j),0j,0j,0j,0j,0j,0j,0j,(-0-0j),0j,0j,0j,0j
38,0j,0j,0j,(-0-0j),(-0-0j),(-6.529999682416517+6.6199026271864705j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-0-0j),(-14.346290986607173+31.879875082049143j),(-0-0j),(-6.5319779616978995+6.618946526405327j),0j,0j,0j,0j,0j,0j,0j,0j,(27.40826863072159-45.11872423564094j),0j,0j,0j
39,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-10000+0j),(-0-0j),(-0-0j),(-10.078822738827984+5.6354028919305055j),(-32.73702660723101+3.363955115028751j),(-36.97247887512646-1.855761487940711j),0j,0j,0j,0j,0j,0j,(10079.788328221184-7.143596519018546j),0j,0j
40,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-10000+0j),(-0-0j),(-32.73702660723101+3.363955115028751j),(-10.601974312478209+5.429296438566018j),(-32.73702660723101+3.363955115028751j),0j,0j,0j,0j,0j,0j,0j,(10076.07602752694-12.157206668623521j),0j
41,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0-0j),(-0-0j),(-10000+0j),(-36.97247887512646-1.855761487940711j),(-32.73702660723101+3.363955115028751j),(-10.078822738827984+5.6354028919305055j),0j,0j,0j,0j,0j,0j,0j,0j,(10079.788328221184-7.143596519018546j)
